,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo
232,229,35,0.0,0.0,0.0,0.0,85,131,142
233,225,20,3.0,0.9648057523499192,3.7016263008117676,14.07657241821289,105,120,139
234,188,6,0.0,0.0,0.0,0.0,100,135,139
235,164,8,0.0,0.0,0.0,0.0,87,127,139
236,162,38,0.0,0.0,0.0,0.0,88,131,140
237,152,83,0.0,0.0,0.0,0.0,87,141,142
238,145,81,0.0,0.9993333730964735,0.9993377923965454,27.373371124267578,63,146,147
239,140,28,0.0,0.0,0.0,0.0,99,142,139
240,137,19,0.0,0.0,0.0,0.0,91,126,139
241,132,48,0.0,0.0,0.0,0.0,87,135,141
242,131,11,0.0,0.0,0.0,0.0,103,117,139
243,131,84,13.0,0.7788629445168447,9.876242637634277,15.74670696258545,51,145,140
244,122,7,0.0,0.0,0.0,0.0,81,121,140
245,120,24,0.5,0.0,0.0,0.0,99,126,140
246,114,10,0.0,0.0,0.0,0.0,75,124,140
247,113,13,0.0,0.0,0.0,0.0,83,128,141
248,124,40,78.0,0.8462195795687695,12.200346946716309,22.89707374572754,94,127,136
249,112,18,0.5,0.0,0.0,0.0,74,122,140
250,108,27,12.5,0.8832408301051698,6.910354137420654,14.73675537109375,81,116,126
251,100,26,0.5,0.0,0.0,0.0,88,136,142
252,95,69,0.0,0.0,0.0,0.0,73,126,139
253,91,76,0.0,0.0,0.0,0.0,79,118,140
254,89,43,8.5,0.8325217144774003,0.8794606328010559,1.5874958038330078,90,113,128
255,86,35,0.0,0.0,0.0,0.0,100,131,140
256,84,67,0.0,0.0,0.0,0.0,80,124,141
257,83,78,0.5,0.0,0.0,0.0,89,135,143
258,78,71,0.0,0.0,0.0,0.0,95,137,142
259,73,62,2.0,0.0,0.0,0.0,100,126,142
260,70,54,18.5,0.8531863447739978,4.449640274047852,8.53065013885498,92,125,134
261,66,17,0.0,0.0,0.0,0.0,107,123,139
262,65,37,0.0,0.0,0.0,0.0,102,122,139
263,64,44,6.5,0.8784445956160382,2.5455892086029053,5.327236652374268,94,122,139
264,56,25,7.0,0.7833706075005401,4.769777774810791,7.673944473266602,102,130,137
265,62,65,59.0,0.837441026757476,9.986106872558594,18.271913528442383,97,127,138
266,55,41,3.5,0.9969739294590368,24.440088272094727,314.3960266113281,106,124,133
267,50,53,9.5,0.7692676946154985,8.633855819702148,13.513063430786133,107,124,137
268,46,35,3.0,0.0,0.0,0.0,110,138,149
269,44,46,1.0,0.0,0.0,0.0,100,123,139
270,40,53,2.0,0.8855504950722596,2.7461845874786377,5.911581516265869,102,123,138
271,42,32,0.5,0.0,0.0,0.0,64,74,84
272,39,48,0.5,0.0,0.0,0.0,110,128,135
273,38,38,0.0,0.0,0.0,0.0,98,130,143
274,36,43,2.0,0.0,0.0,0.0,86,122,132
275,32,31,0.0,0.0,0.0,0.0,99,125,141
276,34,62,40.0,0.8758197999437961,7.356613636016846,15.242500305175781,100,122,140
277,25,76,0.0,0.0,0.0,0.0,89,125,141
278,26,54,15.5,0.8361217203625759,4.22745418548584,7.7066826820373535,91,124,140
279,15,37,0.0,0.0,0.0,0.0,91,118,139
280,12,87,0.0,0.0,0.0,0.0,57,121,139
281,8,93,0.0,0.0,0.0,0.0,66,127,141
282,0,3368,0.0,0.0,0.0,0.0,110,123,139
283,0,3115,0.0,0.0,0.0,0.0,109,120,140
284,1065,1695,7065671.5,0.7796418092108519,2429.357666015625,3879.3642578125,123,151,175
285,2126,3263,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,78,115,135
286,2124,871,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,87,93,112
287,2122,1075,57.5,0.7330952768915087,7.793810844421387,11.45936393737793,29,72,111
288,2120,1655,44.0,0.4999999214107285,7.4833149909973145,8.640987396240234,15,16,30
289,2121,686,61.5,0.7454280294758613,7.7435736656188965,11.616764068603516,36,70,100
290,2117,1691,34.0,0.0,7.211102485656738,7.211102485656738,53,56,77
291,2118,1047,58.0,0.46031522312798534,8.955709457397461,10.088035583496094,72,97,131
292,2120,584,147.5,0.6100859352679076,12.662858963012695,15.981693267822266,17,18,38
293,2115,3139,34.0,0.0,7.211102485656738,7.211102485656738,44,34,51
294,2116,950,69.5,0.8492313717142111,7.6731648445129395,14.531933784484863,70,94,116
295,2115,1976,100.0,0.8952637689035715,8.780694007873535,19.7081356048584,69,105,123
296,2108,477,58.0,0.4914877575998539,8.761049270629883,10.059944152832031,90,107,128
297,2106,635,52.5,0.4318096654096945,8.56677532196045,9.497904777526855,80,90,107
298,2106,2970,119.0,0.6212971197638043,11.356059074401855,14.492624282836914,57,88,103
299,2104,3257,111.5,0.9028279625060195,8.645115852355957,20.104829788208008,43,96,99
300,2105,1595,79.5,0.7621222707379354,9.049338340759277,13.977255821228027,5,45,64
301,2099,714,10.0,0.8944271837432317,2.683281660079956,6.0,100,121,129
302,2090,345,40.0,0.9746794360718711,4.695742607116699,21.0,89,116,136
303,2098,1106,40.0,0.9746794360718711,4.695742607116699,21.0,102,123,124
304,2104,3335,257.0,0.9814536942420172,8.49726676940918,44.32600402832031,91,101,125
305,2087,3171,34.0,0.0,7.211102485656738,7.211102485656738,85,94,108
306,2089,879,66.0,0.48459879332040884,9.521195411682129,10.8846435546875,18,13,52
307,2086,149,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,91,117,129
308,2081,1105,2.0,0.0,0.0,0.0,93,135,134
309,2081,885,14.0,0.9258201023032829,3.0237157344818115,8.0,99,115,131
310,2081,879,4.0,0.7071068131563781,2.1213202476501465,3.0,94,130,138
311,2084,399,47.0,0.0,8.602325439453125,8.602325439453125,64,68,86
312,2087,3252,101.0,0.9034537623767305,8.202244758605957,19.13347625732422,94,93,109
313,2088,559,2026.5,0.9994318808791361,10.72628402709961,318.2557678222656,79,79,93
314,2082,2937,94.0,0.8450482875968119,9.065731048583984,16.955116271972656,34,31,46
315,2081,757,662.0,0.9970081174559315,9.50571060180664,122.97657775878906,77,91,113
316,2078,3377,103.5,0.6716286004489895,11.597674369812012,15.653748512268066,109,123,135
317,2076,2820,34.0,0.0,7.211102485656738,7.211102485656738,67,61,78
318,2073,1767,34.0,0.0,7.211102485656738,7.211102485656738,2,0,15
319,2076,967,930.0,0.9979322694645395,9.732999801635742,151.42910766601562,78,89,103
320,2072,3093,10.0,0.8944271837432317,2.683281660079956,6.0,110,126,132
321,2071,3332,34.0,0.0,7.211102485656738,7.211102485656738,85,87,105
322,2071,1656,34.0,0.0,7.211102485656738,7.211102485656738,22,91,124
323,2071,3050,70.5,0.7188094418438311,8.518932342529297,12.253804206848145,24,24,40
324,2070,789,34.0,0.0,7.211102485656738,7.211102485656738,77,94,103
325,2066,3092,2.0,0.0,0.0,0.0,111,118,135
326,2070,2936,95.5,0.5096096728750485,11.520049095153809,13.389089584350586,22,18,43
327,2066,1941,34.0,0.0,7.211102485656738,7.211102485656738,19,47,94
328,2063,1105,14.0,0.9258201023032829,3.0237157344818115,8.0,87,108,109
329,2062,1505,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,25,67,102
330,2061,3095,53.0,0.6876084625235896,7.916781425476074,10.903430938720703,45,66,87
331,2059,3217,34.0,0.0,7.211102485656738,7.211102485656738,86,93,108
332,2059,746,52.5,0.4318096654096945,8.56677532196045,9.497904777526855,35,35,75
333,2059,3169,65.0,0.6670262359189688,8.657981872558594,11.620918273925781,71,84,98
334,2056,3306,34.0,0.0,7.211102485656738,7.211102485656738,73,79,98
335,2059,3249,110.0,0.5796434915060104,11.270084381103516,13.830527305603027,90,94,113
336,2055,3358,64.0,0.707106816115585,8.746427536010742,12.369317054748535,82,80,99
337,2055,3347,34.0,0.0,7.211102485656738,7.211102485656738,72,81,95
