,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo,clase
2774,495,2275,66.0,0.4845987933204088,9.521195411682127,10.8846435546875,25,72,124,0
2775,495,1803,51.5,0.5990227759485796,7.933737277984619,9.908105850219728,54,96,131,0
2776,495,1637,65.0,0.6734978921367564,8.517038345336914,11.522136688232422,23,53,82,0
2777,495,1529,126.5,0.9393836312681864,7.899186134338379,23.03857040405273,34,73,95,0
2778,501,1510,274.0,0.6499276435964846,17.81397247314453,23.439558029174805,0,5,32,0
2779,494,1625,66.0,0.4845987933204088,9.521195411682127,10.8846435546875,25,66,99,0
2780,491,2333,34.0,0.0,7.211102485656738,7.211102485656738,57,86,125,0
2781,491,1453,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,11,49,81,0
2782,495,3019,186.0,0.8840290178562165,12.66197395324707,27.08837509155273,44,94,136,0
2783,492,969,58.5,0.6568138212576119,8.235857963562012,10.922123908996582,4,73,123,0
2784,489,1095,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,51,88,122,0
2785,489,1716,127.0,0.8856357656525325,9.623047828674316,20.722332000732425,5,43,101,0
2786,490,2732,124.5,0.4588620064821758,12.309423446655272,13.854044914245604,13,51,109,0
2787,487,1593,56.5,0.4943033097867977,8.451827049255371,9.722683906555176,81,94,116,0
2788,485,3124,34.0,0.0,7.211102485656738,7.211102485656738,63,63,87,0
2789,488,2976,66.0,0.8738256213521998,6.965869426727295,14.326006889343262,123,138,147,0
2790,487,123,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,118,126,139,0
2791,501,2400,741.5,0.7395146884841065,26.82490921020508,39.85039138793945,10,63,106,0
2792,487,1231,138.5,0.738034232713208,11.744059562683104,17.40471076965332,0,37,91,1
2793,485,1220,44.0,0.4999999214107285,7.483314990997314,8.640987396240234,41,105,146,0
2794,484,940,34.0,0.0,7.211102485656738,7.211102485656738,42,99,124,0
2795,485,198,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,126,131,146,0
2796,484,985,119.0,0.9233722700004668,8.623571395874023,22.46272850036621,0,81,138,0
2797,510,291,1292.0,0.5892074177873904,75.48526000976562,93.42445373535156,152,168,180,0
2798,484,881,166.0,0.7804011531622881,11.905651092529297,19.040536880493164,41,101,143,0
2799,483,3114,80.0,0.9005834389283984,7.204458713531494,16.574045181274414,79,92,118,0
2800,478,2385,34.0,0.0,7.211102485656738,7.211102485656738,0,26,84,0
2801,479,2878,59.5,0.5247639565273744,8.928594589233398,10.488831520080566,105,125,142,0
2802,480,1969,118.5,0.5307603183543275,11.989811897277832,14.14690399169922,14,42,72,0
2803,474,411,6.0,0.8164965882550608,2.309401035308838,4.0,104,131,141,0
2804,475,1109,34.0,0.0,7.211102485656738,7.211102485656738,77,115,145,0
2805,476,197,51.0,0.3100193290169721,8.574649810791016,9.019014358520508,122,123,137,0
2806,475,2800,45.5,0.3598035052873985,8.058319091796875,8.636737823486328,86,104,135,0
2807,474,2636,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,45,99,130,0
2808,474,2241,34.0,0.0,7.211102485656738,7.211102485656738,36,68,111,0
2809,478,1417,106.5,0.8753439882046055,8.7979097366333,18.196271896362305,37,79,124,0
2810,475,2108,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,0,30,85,0
2811,482,1559,327.5,0.738477938171824,20.09586524963379,29.803546905517575,84,134,157,0
2812,474,1174,70.0,0.7854967399965065,8.061120986938477,13.025636672973633,86,121,141,0
2813,471,2331,52.5,0.4318096654096945,8.56677532196045,9.497904777526855,70,105,138,0
2814,474,1885,99.5,0.8056508476186997,9.195076942443848,15.521981239318848,23,85,131,0
2815,470,1377,64.5,0.5316501333985276,8.927261352539062,10.54030704498291,55,117,155,0
2816,472,1809,97.5,0.7489976775884645,9.43521785736084,14.240277290344238,49,95,129,0
2817,468,1631,34.0,0.0,7.211102485656738,7.211102485656738,35,26,47,0
2818,468,3191,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,111,118,135,0
2819,469,1967,58.0,0.6666666128177567,8.459052085876465,11.349008560180664,10,49,87,0
2820,468,1953,59.5,0.5247639565273744,8.928594589233398,10.488831520080566,32,60,95,0
2821,467,1503,34.0,0.0,7.211102485656738,7.211102485656738,0,21,59,0
2822,467,1942,71.0,0.6973706497404948,8.694930076599121,12.131715774536133,85,114,135,0
2823,477,1312,551.0,0.8608430143675639,21.552793502807617,42.35417175292969,39,103,138,0
2824,477,1308,0.0,0.0,0.0,0.0,59,132,164,0
2825,471,1144,302.0,0.6803400598885355,17.324787139892578,23.6387882232666,27,60,93,0
2826,466,3204,50.0,0.6254302184875736,7.545398712158203,9.67011547088623,87,117,146,0
2827,465,1718,44.0,0.4999999214107285,7.483314990997314,8.640987396240234,40,58,99,0
2828,464,2037,57.0,0.5713320063152533,8.391093254089355,10.224075317382812,0,42,85,0
2829,463,2011,34.0,0.0,7.211102485656738,7.211102485656738,55,89,118,0
2830,463,263,10.0,0.8944271837432317,2.683281660079956,6.0,124,155,158,0
2831,463,2020,57.5,0.7330951857750235,7.793811321258545,11.459362983703612,51,97,121,0
2832,464,2110,114.0,0.7061895742650245,11.141342163085938,15.735852241516112,3,69,118,0
2833,459,1738,34.0,0.0,7.211102485656738,7.211102485656738,11,36,76,0
2834,461,1092,92.0,0.6747389309471039,10.149991989135742,13.752324104309082,92,127,147,0
2835,458,2119,34.0,0.0,7.211102485656738,7.211102485656738,17,62,100,0
2836,461,1039,168.5,0.6432927160506365,13.171942710876465,17.204275131225586,9,93,105,0
2837,458,1554,52.0,0.6123725092032348,8.162413597106934,10.32472801208496,50,87,107,0
2838,456,974,64.0,0.707106816115585,8.746427536010742,12.369317054748535,0,108,150,0
2839,469,529,1462.0,0.9991613455820312,10.424267768859863,254.5834197998047,65,114,130,0
2840,466,944,315.0,0.8050278330172904,17.440853118896484,29.39946746826172,12,125,165,0
2841,454,2876,51.5,0.5990227759485796,7.933737277984619,9.908105850219728,63,92,129,0
2842,456,2254,83.5,0.7781918253085226,8.682292938232422,13.82472038269043,69,104,130,0
2843,465,2084,555.0,0.3506358083863292,29.56577491760254,31.57010078430176,33,117,143,0
2844,459,2084,3.5,0.0,0.0,0.0,44,138,157,0
2845,466,858,292.5,0.8688062776117684,15.400221824645996,31.101999282836918,0,93,145,0
2846,453,2330,66.5,0.6840256533265389,8.773187637329102,12.026995658874512,64,96,125,0
2847,452,2810,57.5,0.7330951857750235,7.793811321258545,11.459362983703612,33,55,103,0
2848,452,2356,44.0,0.4999999214107285,7.483314990997314,8.640987396240234,59,97,129,0
2849,458,2159,210.0,0.7126219572796209,14.584033966064451,20.788354873657227,12,26,68,0
2850,450,973,16.0,0.7745966853179812,3.924283266067505,6.204836845397949,0,114,152,0
2851,449,631,4.0,0.7071068131563781,2.1213202476501465,3.0,116,153,157,0
2852,450,987,52.5,0.8694041520360871,6.795037269592285,13.752306938171388,0,86,129,0
2853,449,2404,16.0,0.7745966853179812,3.924283266067505,6.204836845397949,43,81,105,0
2854,449,2096,34.0,0.0,7.211102485656738,7.211102485656738,23,97,131,0
2855,450,1731,49.0,0.7006401578855999,7.090209007263184,9.937017440795898,24,83,122,0
2856,449,1675,34.0,0.0,7.211102485656738,7.211102485656738,75,104,131,0
2857,518,1018,1236.0,0.994532186515651,15.182954788208008,145.38812255859375,74,104,131,0
2858,448,2061,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,15,86,124,0
2859,448,1088,40.0,0.4082482984688163,7.538788795471191,8.258329391479492,25,57,100,0
2860,450,879,123.0,0.7834684562773921,14.15241241455078,22.773887634277344,0,91,140,0
2861,447,3007,34.0,0.0,7.211102485656738,7.211102485656738,17,16,56,0
2862,449,2665,69.0,0.6599117699259714,8.688084602355957,11.56340503692627,35,59,95,0
2863,447,2253,34.0,0.0,7.211102485656738,7.211102485656738,40,66,106,0
2864,445,906,6.0,0.8164965882550608,2.309401035308838,4.0,53,125,155,0
2865,447,2460,63.0,0.7009323957224985,8.25961971282959,11.580620765686035,55,95,113,0
2866,448,798,861.0,0.9984756681239848,8.937224388122559,161.92483520507812,94,113,128,0
2867,443,2623,34.0,0.0,7.211102485656738,7.211102485656738,56,85,116,0
